epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.04138514772057533,0.03406880423426628,0.013303539715707302,0.059608086943626404,1.6033349311328493e-05,0.08405838161706924,9.669057908467948e-05,0.01699131727218628,00:10
1,0.03323126211762428,0.02558029070496559,0.2702804505825043,0.5739319920539856,0.05252598971128464,0.12955637276172638,0.10719156265258789,0.16715240478515625,00:10
2,0.026628395542502403,0.015907732769846916,0.4753311276435852,0.6664943695068359,0.388187438249588,0.47740620374679565,0.12657639384269714,0.25315994024276733,00:10
3,0.021874114871025085,0.01501610316336155,0.48184359073638916,0.5555315613746643,0.4451049864292145,0.5292674899101257,0.1325700730085373,0.28771695494651794,00:10
4,0.018872486427426338,0.013444225303828716,0.5504677891731262,0.78800368309021,0.37293148040771484,0.6152172088623047,0.16080904006958008,0.2552545666694641,00:10
5,0.01710600033402443,0.015504539012908936,0.273673951625824,0.26288607716560364,0.450554221868515,0.2696511447429657,0.1524764746427536,0.26579147577285767,00:10
6,0.015724465250968933,0.016769910231232643,0.5114458203315735,0.5638406872749329,0.5283639430999756,0.5512002110481262,0.0910063236951828,0.3394428789615631,00:10
7,0.01464487612247467,0.012031903490424156,0.5759080648422241,0.6566132307052612,0.47506606578826904,0.6607615351676941,0.18968932330608368,0.4009656310081482,00:10
8,0.0131714828312397,0.010983182117342949,0.6535564661026001,0.7422791719436646,0.5423250198364258,0.7146718502044678,0.15566952526569366,0.3614315688610077,00:10
9,0.012167822569608688,0.011174067854881287,0.6099428534507751,0.5882477164268494,0.5165483355522156,0.66011643409729,0.17033283412456512,0.3960905075073242,00:10
epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.009059916250407696,0.009973722510039806,0.6664435267448425,0.8027662634849548,0.6364887952804565,0.6678893566131592,0.2538377642631531,0.41460496187210083,00:10
1,0.00883542001247406,0.009451150894165039,0.6469151377677917,0.757893979549408,0.5702589154243469,0.7151269316673279,0.18806345760822296,0.4633041024208069,00:10
2,0.008701169863343239,0.009970039129257202,0.5770666003227234,0.6910222172737122,0.41252124309539795,0.7226219177246094,0.18937137722969055,0.45122113823890686,00:10
3,0.008368072099983692,0.009916732087731361,0.6729952096939087,0.7580274939537048,0.5780527591705322,0.7400446534156799,0.14818516373634338,0.4677684009075165,00:10
4,0.00859660655260086,0.010238287970423698,0.5337398648262024,0.7084435820579529,0.1474246084690094,0.7060118317604065,0.14298123121261597,0.43301406502723694,00:10
5,0.008574397303164005,0.011009292677044868,0.5813973546028137,0.7577403783798218,0.4316255450248718,0.6670315861701965,0.19367113709449768,0.39813822507858276,00:10
6,0.008442096412181854,0.01063857413828373,0.6319576501846313,0.7799940705299377,0.5685170292854309,0.7094066739082336,0.23290595412254333,0.3613405227661133,00:10
7,0.00808254349976778,0.010432470589876175,0.6866191029548645,0.8067321181297302,0.5507026314735413,0.7371604442596436,0.22255977988243103,0.43751436471939087,00:10
8,0.0077139269560575485,0.008562241680920124,0.7467439770698547,0.8234322667121887,0.6630471348762512,0.7468836307525635,0.2166334092617035,0.49057817459106445,00:10
9,0.00739997997879982,0.010358607396483421,0.6818894743919373,0.7633904814720154,0.6221994161605835,0.718823254108429,0.21589994430541992,0.4440314471721649,00:10
10,0.007178711239248514,0.010340957902371883,0.6926240921020508,0.7862866520881653,0.6136425733566284,0.7142803072929382,0.22407345473766327,0.47153154015541077,00:10
11,0.006923842243850231,0.011483677662909031,0.5802282094955444,0.7252639532089233,0.4999605119228363,0.6572893857955933,0.16441313922405243,0.46359097957611084,00:10
12,0.006602953188121319,0.010063269175589085,0.6513763666152954,0.7478348016738892,0.5206899642944336,0.7423558831214905,0.21776781976222992,0.4856993854045868,00:10
13,0.006306147668510675,0.01039227657020092,0.6921119093894958,0.7999259233474731,0.6109163761138916,0.720562219619751,0.19329272210597992,0.5004030466079712,00:10
14,0.006028653588145971,0.010374445468187332,0.6885779500007629,0.768866240978241,0.5858128666877747,0.7269701361656189,0.20398622751235962,0.5066155791282654,00:10
15,0.005801816936582327,0.011496605351567268,0.714843213558197,0.8083838224411011,0.6383262276649475,0.7278375029563904,0.2361595183610916,0.49132779240608215,00:10
16,0.005622902885079384,0.011335880495607853,0.7140277624130249,0.8045836091041565,0.6340201497077942,0.7352374792098999,0.24801641702651978,0.47728487849235535,00:10
17,0.005457452964037657,0.011006674729287624,0.6929095387458801,0.7898004055023193,0.6287261843681335,0.7383060455322266,0.2430221289396286,0.5050348043441772,00:10
18,0.005311659537255764,0.010532396845519543,0.6994979381561279,0.7812286615371704,0.6157596707344055,0.7281944155693054,0.23651942610740662,0.5028424859046936,00:10
19,0.005204683169722557,0.010717169381678104,0.7009958624839783,0.782554566860199,0.6193895936012268,0.7278124690055847,0.23619598150253296,0.4957851469516754,00:10
