epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.04714620113372803,0.038817405700683594,0.0004482822259888053,0.0006718980148434639,0.0,0.0,0.05808980017900467,0.2631579041481018,00:10
1,0.03575383126735687,0.034599993377923965,0.21682818233966827,0.4883880317211151,0.0004649329057428986,0.005222143605351448,0.08034215122461319,0.2631579041481018,00:10
2,0.029191328212618828,0.015522589907050133,0.3480551540851593,0.647569477558136,0.14375154674053192,0.3545905351638794,0.18189147114753723,0.2631579041481018,00:10
3,0.023377884179353714,0.013220642693340778,0.4649048149585724,0.7069981694221497,0.3438108265399933,0.5243226885795593,0.18710491061210632,0.10478570312261581,00:10
4,0.019268345087766647,0.011315210722386837,0.5911763310432434,0.7508801817893982,0.20782838761806488,0.786321222782135,0.20527265965938568,0.23615840077400208,00:10
5,0.016730189323425293,0.011885378509759903,0.6282132863998413,0.6579741835594177,0.4235341548919678,0.7566558718681335,0.179851233959198,0.24149811267852783,00:10
6,0.01539306715130806,0.011235165409743786,0.6698331832885742,0.8086921572685242,0.49427467584609985,0.7862639427185059,0.19320952892303467,0.23568958044052124,00:10
7,0.013817853294312954,0.010153885930776596,0.5339076519012451,0.8059637546539307,0.2765440344810486,0.6958109140396118,0.20601050555706024,0.2506130039691925,00:10
8,0.012656294740736485,0.0094369575381279,0.7042649984359741,0.744812548160553,0.617822527885437,0.8136410117149353,0.18548113107681274,0.23918433487415314,00:10
9,0.012993283569812775,0.014838000759482384,0.6115659475326538,0.7422529458999634,0.4339119493961334,0.7131423950195312,0.18766015768051147,0.2512403428554535,00:10
epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.010296755470335484,0.008961855433881283,0.6662180423736572,0.8328655958175659,0.4522520899772644,0.8154891729354858,0.20098324120044708,0.26714804768562317,00:10
1,0.009322457946836948,0.009506079368293285,0.6813284158706665,0.811223566532135,0.4810204803943634,0.8013305068016052,0.19535864889621735,0.23012375831604004,00:10
2,0.008710653521120548,0.008871820755302906,0.5851353406906128,0.6412316560745239,0.3178514838218689,0.8227772116661072,0.21159811317920685,0.22048285603523254,00:10
3,0.008468803018331528,0.009063887409865856,0.6830531358718872,0.8003632426261902,0.5186765193939209,0.8305378556251526,0.1817711740732193,0.2267773300409317,00:10
4,0.008248066529631615,0.01005204301327467,0.6985493898391724,0.8127485513687134,0.3976580500602722,0.801652193069458,0.2163449227809906,0.2775539457798004,00:10
5,0.008123430423438549,0.008534611202776432,0.6927870512008667,0.7994062304496765,0.5284407138824463,0.8410335183143616,0.23031727969646454,0.21865281462669373,00:10
6,0.008011311292648315,0.008808350190520287,0.6215551495552063,0.8158568143844604,0.45405325293540955,0.7851582765579224,0.21657505631446838,0.23274670541286469,00:10
7,0.007724505849182606,0.009880514815449715,0.5371585488319397,0.7670386433601379,0.3887309730052948,0.7162946462631226,0.22854496538639069,0.20624832808971405,00:10
8,0.007550161797553301,0.009409514255821705,0.7365365028381348,0.8200769424438477,0.6375098824501038,0.8240312337875366,0.19444917142391205,0.23378655314445496,00:10
9,0.00725192716345191,0.008790692314505577,0.669343113899231,0.7897370457649231,0.5813066363334656,0.8074328303337097,0.2166530191898346,0.2335156500339508,00:10
10,0.006928831804543734,0.008402314968407154,0.648938000202179,0.8344625234603882,0.4122641384601593,0.8260743021965027,0.23928023874759674,0.20347562432289124,00:10
11,0.006675759330391884,0.008727548643946648,0.6944487690925598,0.8133930563926697,0.5955932140350342,0.8123115301132202,0.23152536153793335,0.3087018132209778,00:10
12,0.006455706898123026,0.008756179362535477,0.6596856117248535,0.7598931193351746,0.49505895376205444,0.8345228433609009,0.24529705941677094,0.22339275479316711,00:10
13,0.006256358698010445,0.009004979394376278,0.7451368570327759,0.8536713123321533,0.617785632610321,0.8462948799133301,0.23299726843833923,0.21904224157333374,00:10
14,0.006004180759191513,0.008451012894511223,0.6981405019760132,0.8248233199119568,0.537554919719696,0.8430234789848328,0.2584336996078491,0.2584344148635864,00:10
15,0.005740838125348091,0.00901484489440918,0.7563526034355164,0.8596304059028625,0.6533524394035339,0.8484850525856018,0.2394457459449768,0.22071883082389832,00:10
16,0.005486309994012117,0.009002509526908398,0.7279941439628601,0.8476269245147705,0.620773434638977,0.8405935168266296,0.2315378040075302,0.22992897033691406,00:10
17,0.00534661253914237,0.008938984014093876,0.740741491317749,0.8438234329223633,0.6262299418449402,0.8468248248100281,0.2352716326713562,0.23664624989032745,00:10
18,0.005217130295932293,0.00887527409940958,0.7395529747009277,0.8442672491073608,0.6306049823760986,0.8550934195518494,0.23835879564285278,0.25580084323883057,00:10
19,0.005114090628921986,0.008872952312231064,0.7377389073371887,0.8403316140174866,0.6245275139808655,0.8517534136772156,0.23905859887599945,0.25553640723228455,00:10
