epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.005389049649238586,0.0025448875967413187,0.05368690565228462,0.0,0.0,0.0,0.01528114452958107,0.0,00:10
1,0.0036376069765537977,0.002030224772170186,0.052224162966012955,0.0,0.0,0.13333334028720856,0.02875426411628723,0.0,00:10
2,0.0028910080436617136,0.0015524488408118486,0.05287087336182594,0.0,0.0,0.15000000596046448,0.04038158804178238,0.0,00:10
3,0.0022993627935647964,0.0019419824238866568,0.05370510742068291,0.00012974230048712343,0.0,0.15000000596046448,0.029010707512497902,0.0,00:10
4,0.002343354746699333,0.0019119371427223086,0.051374975591897964,0.0,0.0,0.15000000596046448,0.041964784264564514,0.0,00:10
5,0.002028881572186947,0.0011166025651618838,0.05361032113432884,0.0,0.0,0.15000000596046448,0.05519266054034233,0.0,00:10
6,0.0017868150025606155,0.001276175957173109,0.0756167620420456,0.00025093593285419047,0.0,0.19830173254013062,0.05505185201764107,0.0,00:10
7,0.0015655964380130172,0.0029571230988949537,0.0645044595003128,1.4448780348175205e-05,0.0,0.20421399176120758,0.09988746792078018,0.0,00:10
8,0.001492175506427884,0.0009479745058342814,0.06647564470767975,0.009439750574529171,0.0,0.17934896051883698,0.06252838671207428,0.0,00:10
9,0.0012626941315829754,0.0009251146111637354,0.14652805030345917,0.0,0.0,0.3042546510696411,0.06933525949716568,0.0,00:10
epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.000772179919295013,0.0009951747488230467,0.13769617676734924,0.009368691593408585,0.0,0.3284620940685272,0.09443040192127228,0.0,00:10
1,0.000743235694244504,0.0009376707021147013,0.14995141327381134,0.00016007755766622722,0.0,0.34863680601119995,0.08343207091093063,0.0,00:10
2,0.0007256411481648684,0.0008757722098380327,0.14681243896484375,0.002009450225159526,0.0,0.36237236857414246,0.08837290108203888,0.0,00:10
3,0.0006924635963514447,0.0012264499673619866,0.1590060293674469,0.06413420289754868,0.0,0.40096327662467957,0.10940541326999664,0.0,00:10
4,0.0007081740186549723,0.001202802057377994,0.12408272176980972,0.0,0.0,0.33868005871772766,0.10230489820241928,0.0,00:10
5,0.0007445827359333634,0.0008011370664462447,0.16531893610954285,0.0,0.0,0.37578678131103516,0.10086315125226974,0.0,00:10
6,0.0007020143093541265,0.0007822543848305941,0.17114168405532837,0.0004328656941652298,0.0,0.44976097345352173,0.1039087325334549,0.0,00:10
7,0.0007116695051081479,0.000674217299092561,0.18457044661045074,0.06513383239507675,0.0,0.4265643358230591,0.08878627419471741,0.0,00:10
8,0.0007236403180286288,0.0011460107052698731,0.10209107398986816,0.0,0.0,0.27989661693573,0.10507253557443619,0.0,00:10
9,0.0007078058551996946,0.0006370681221596897,0.21963486075401306,0.1635112166404724,0.0,0.4686475396156311,0.10156963020563126,0.0,00:10
10,0.0006855413666926324,0.0006548696546815336,0.17756681144237518,0.08408240973949432,0.0,0.4563303589820862,0.10500219464302063,0.0,00:10
11,0.0006444503087550402,0.0006271183956414461,0.24522288143634796,0.18280786275863647,0.0,0.5379413366317749,0.10571447759866714,0.0,00:10
12,0.0006201868527568877,0.0006059455336071551,0.2555682957172394,0.19490346312522888,0.0,0.5501684546470642,0.1093754991889,0.0,00:10
13,0.0005924865254200995,0.0007186973234638572,0.2353903204202652,0.13146016001701355,0.0,0.5456317663192749,0.10972312837839127,0.0,00:10
14,0.0005756823229603469,0.0006077887373976409,0.24469412863254547,0.18978935480117798,0.0,0.5498960018157959,0.10649248212575912,0.0,00:10
15,0.0005573899834416807,0.0006789492326788604,0.24341443181037903,0.19273732602596283,0.0,0.5471978783607483,0.1147427037358284,0.0,00:10
16,0.000545394083019346,0.0007447531097568572,0.26802676916122437,0.2846449017524719,0.0,0.5396658778190613,0.11833515018224716,0.0,00:10
17,0.0005361721850931644,0.0007381303003057837,0.2604263424873352,0.259060263633728,0.0,0.5358124375343323,0.11659248918294907,0.0,00:10
18,0.0005207376088947058,0.0008031085017137229,0.275261253118515,0.3045130968093872,0.0,0.5436881184577942,0.11938285082578659,0.0,00:10
19,0.0005221210885792971,0.0007797239813953638,0.2715992331504822,0.2923339903354645,0.0,0.5420781373977661,0.11979605257511139,0.0,00:10
