epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.04973015561699867,0.036383748054504395,0.002220084425061941,0.010203075595200062,0.0,0.015239793807268143,0.20000000298023224,0.006337088067084551,00:15
1,0.03841708227992058,0.019646791741251945,0.26808273792266846,0.5074859857559204,2.0526857042568736e-05,0.2625619173049927,0.09218109399080276,0.1574690341949463,00:15
2,0.03008137084543705,0.014474362134933472,0.5191695094108582,0.6769874691963196,0.3379841148853302,0.5354931354522705,0.16254158318042755,0.24917720258235931,00:15
3,0.024267496541142464,0.013481756672263145,0.4372779428958893,0.5017216801643372,0.1346522569656372,0.5194823145866394,0.14571039378643036,0.2557642161846161,00:15
4,0.020652418956160545,0.013578311540186405,0.3904654383659363,0.507788896560669,0.4085417091846466,0.3104739785194397,0.20536844432353973,0.25714245438575745,00:15
5,0.017929190769791603,0.009919358417391777,0.5577735900878906,0.7287515997886658,0.40474554896354675,0.4960550367832184,0.16559776663780212,0.35675227642059326,00:15
6,0.024311084300279617,0.03132220730185509,0.0,0.0,0.0,0.11999999731779099,0.20000000298023224,0.11999999731779099,00:15
7,0.027146128937602043,0.020016947761178017,0.2945408821105957,0.5460628867149353,0.0,0.3657185733318329,0.20000000298023224,0.11999999731779099,00:15
8,0.02531239576637745,0.014544203877449036,0.516525387763977,0.43710988759994507,0.5904496312141418,0.42040231823921204,0.1393245905637741,0.26086661219596863,00:15
9,0.022569969296455383,0.012296736240386963,0.45929884910583496,0.6926656365394592,0.16960084438323975,0.4433673024177551,0.20722883939743042,0.3542676568031311,00:15
epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.014231225475668907,0.012090872973203659,0.576141357421875,0.7104260325431824,0.3363759219646454,0.5324389934539795,0.18701158463954926,0.34435537457466125,00:16
1,0.0131235271692276,0.010402637533843517,0.5412837862968445,0.6290562748908997,0.39929884672164917,0.5387238264083862,0.21896332502365112,0.36285895109176636,00:16
2,0.012528986670076847,0.009686007164418697,0.607198178768158,0.6428548097610474,0.5860018134117126,0.5578288435935974,0.24148818850517273,0.3604702055454254,00:16
3,0.01208620797842741,0.010287764482200146,0.5284190773963928,0.6999108195304871,0.2513454556465149,0.5772060751914978,0.1625368893146515,0.325856477022171,00:16
4,0.01181870885193348,0.009695068001747131,0.6223249435424805,0.7552363276481628,0.4088766574859619,0.6273758411407471,0.1439606249332428,0.30837586522102356,00:16
5,0.011645824648439884,0.008867233991622925,0.6262934803962708,0.7612936496734619,0.509101152420044,0.5486590266227722,0.20446144044399261,0.34008723497390747,00:16
6,0.011483907699584961,0.009052409790456295,0.5251054763793945,0.4385710656642914,0.4021218419075012,0.6113596558570862,0.19712409377098083,0.30995407700538635,00:16
7,0.010989741422235966,0.008648965507745743,0.5765321254730225,0.7352399826049805,0.4033825397491455,0.535065770149231,0.18343356251716614,0.3806731104850769,00:16
8,0.010443562641739845,0.00857218261808157,0.5789942741394043,0.7248192429542542,0.4224057197570801,0.5711612701416016,0.16383588314056396,0.34896937012672424,00:16
9,0.010057861916720867,0.007963629439473152,0.6684740781784058,0.7697200775146484,0.48185500502586365,0.6412805318832397,0.1803557127714157,0.5135815143585205,00:16
10,0.00958491675555706,0.008271068334579468,0.6915805339813232,0.7661446928977966,0.5786249041557312,0.6250786185264587,0.17538022994995117,0.4737222194671631,00:16
11,0.009194296784698963,0.008051590994000435,0.6631411910057068,0.7554598450660706,0.5190693736076355,0.6275656223297119,0.19081640243530273,0.4481567442417145,00:16
12,0.0087491599842906,0.007840972393751144,0.663197934627533,0.765511155128479,0.5758224725723267,0.5792276263237,0.2048002928495407,0.44506219029426575,00:16
13,0.008355401456356049,0.007827699184417725,0.694571852684021,0.7641542553901672,0.6010398268699646,0.6212584972381592,0.2125154733657837,0.4612985849380493,00:16
14,0.007968283258378506,0.007745575159788132,0.6991708278656006,0.7816667556762695,0.6231399774551392,0.6044760346412659,0.21168860793113708,0.5492281913757324,00:16
15,0.007698028348386288,0.007897000759840012,0.7012200951576233,0.7809803485870361,0.6320821046829224,0.6024919748306274,0.2264806628227234,0.5560064911842346,00:16
16,0.007499012630432844,0.00770947290584445,0.7106387615203857,0.7770681977272034,0.6261734962463379,0.6149329543113708,0.22486378252506256,0.5138826370239258,00:16
17,0.007324105594307184,0.007664660457521677,0.7083560228347778,0.7774486541748047,0.6408843994140625,0.6160415410995483,0.21569763123989105,0.5323251485824585,00:16
18,0.007156398147344589,0.007565590552985668,0.7045179009437561,0.7788402438163757,0.6177663207054138,0.607797384262085,0.21295011043548584,0.5278713703155518,00:16
19,0.007082654628902674,0.007584358099848032,0.700499951839447,0.7762971520423889,0.6137921810150146,0.6040725111961365,0.21514472365379333,0.5438171029090881,00:16
