epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.020291972905397415,0.02312132902443409,0.1334254890680313,0.12091032415628433,0.10620427876710892,0.10033387690782547,0.08535311371088028,0.2631579041481018,00:10
1,0.016975492238998413,0.013803345151245594,0.1197434589266777,0.12375202775001526,0.0014634823892265558,0.12026629596948624,0.10068462044000626,0.2631579041481018,00:10
2,0.014021890237927437,0.009142882190644741,0.436357706785202,0.6722128391265869,0.03929724544286728,0.5703005790710449,0.1681995391845703,0.2631579041481018,00:10
3,0.011896410956978798,0.007629816886037588,0.46097221970558167,0.6105262637138367,0.13907712697982788,0.6348524689674377,0.1826208233833313,0.2631579041481018,00:10
4,0.010418185032904148,0.007085859775543213,0.38932156562805176,0.5959222316741943,0.05468926578760147,0.5647181272506714,0.2123114913702011,0.2701367139816284,00:10
5,0.009381137788295746,0.00884441938251257,0.5241327285766602,0.5982338190078735,0.24138306081295013,0.7022175192832947,0.15382158756256104,0.2636295557022095,00:10
6,0.009023766033351421,0.007670169230550528,0.5597599744796753,0.6725091338157654,0.2834148108959198,0.7208665013313293,0.19103451073169708,0.24905891716480255,00:10
7,0.008989729918539524,0.007288769353181124,0.48066240549087524,0.7543232440948486,0.09985461831092834,0.6400440335273743,0.23293903470039368,0.26627272367477417,00:10
8,0.008238830603659153,0.006407464388757944,0.5355598330497742,0.6641198396682739,0.3309771418571472,0.7733530402183533,0.19493694603443146,0.25997862219810486,00:10
9,0.007456601597368717,0.007072649896144867,0.5833445191383362,0.7600551843643188,0.2775561511516571,0.771573007106781,0.18290671706199646,0.2715390920639038,00:10
epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.005309743341058493,0.005655949469655752,0.5908800363540649,0.7279446125030518,0.2671150863170624,0.8234116435050964,0.21711227297782898,0.2584144175052643,00:10
1,0.00514500355347991,0.006335061974823475,0.6817469000816345,0.766701340675354,0.5249109268188477,0.7897771596908569,0.21730051934719086,0.23798304796218872,00:10
2,0.005073850974440575,0.0058550527319312096,0.5824710130691528,0.6969253420829773,0.15042473375797272,0.8131513595581055,0.2169562727212906,0.24188296496868134,00:10
3,0.004933325108140707,0.0067298999056220055,0.5655335783958435,0.7360860109329224,0.06519240885972977,0.756059467792511,0.21063603460788727,0.24986572563648224,00:10
4,0.0049239653162658215,0.006231367122381926,0.6668015122413635,0.6981086730957031,0.5461581945419312,0.7642996907234192,0.22208985686302185,0.2619728147983551,00:10
5,0.004828359931707382,0.005773341283202171,0.6313202381134033,0.7715106010437012,0.42767930030822754,0.816814661026001,0.23809164762496948,0.2538776099681854,00:10
6,0.004797200672328472,0.005616293754428625,0.532785952091217,0.6832004189491272,0.28789421916007996,0.7676109075546265,0.23613280057907104,0.25530850887298584,00:10
7,0.0048500727862119675,0.005509435199201107,0.675936758518219,0.8080220222473145,0.4074167013168335,0.8008951544761658,0.2449212670326233,0.2570047676563263,00:10
8,0.004682550672441721,0.005519901402294636,0.5280003547668457,0.7296024560928345,0.12669110298156738,0.7612506151199341,0.21728961169719696,0.18716713786125183,00:10
9,0.004570264834910631,0.005512802861630917,0.6139631271362305,0.7460892200469971,0.3559459149837494,0.8222646713256836,0.23285295069217682,0.24865666031837463,00:10
10,0.004399293567985296,0.0056783040054142475,0.6352218389511108,0.7283085584640503,0.41024118661880493,0.8111969828605652,0.22884707152843475,0.20615391433238983,00:10
11,0.004326682072132826,0.005725834984332323,0.6515474915504456,0.7068153023719788,0.4579734802246094,0.8432714939117432,0.23934900760650635,0.2044394314289093,00:10
12,0.00409355154260993,0.006354303564876318,0.6492107510566711,0.7991535663604736,0.5321665406227112,0.8071205615997314,0.2536757290363312,0.18115408718585968,00:10
13,0.003895479254424572,0.005992801859974861,0.6584946513175964,0.7586578726768494,0.5002894997596741,0.8281892538070679,0.2622631788253784,0.19343201816082,00:10
14,0.003702980000525713,0.006260872818529606,0.6661802530288696,0.7641061544418335,0.5127557516098022,0.8342984318733215,0.27124133706092834,0.2145739048719406,00:10
15,0.0035995137877762318,0.006895438767969608,0.7265902161598206,0.8309729099273682,0.6311193704605103,0.8377631902694702,0.25903967022895813,0.19087998569011688,00:10
16,0.0034846747294068336,0.006673464551568031,0.7039698362350464,0.8071500658988953,0.5607750415802002,0.8452507257461548,0.2722543776035309,0.20779073238372803,00:10
17,0.0033649569377303123,0.006910907570272684,0.6861202716827393,0.8038302659988403,0.5649888515472412,0.833480179309845,0.2659837603569031,0.17459186911582947,00:10
18,0.0032574909273535013,0.007106209173798561,0.7025502324104309,0.8079676032066345,0.5780093669891357,0.8421362042427063,0.2673565447330475,0.16259367763996124,00:10
19,0.0031841339077800512,0.0069738226011395454,0.6972036957740784,0.8050351738929749,0.5644779801368713,0.8409421443939209,0.2684860825538635,0.19552399218082428,00:10
