epoch,train_loss,valid_loss,foreground_acc,diceFG,time
0,0.010517165996134281,0.005333751440048218,9.130771650234237e-05,0.21063071489334106,01:41
1,0.007825609296560287,0.004510801285505295,0.03571709245443344,0.21144163608551025,00:20
2,0.006904199253767729,0.0036142487078905106,0.0010128059657290578,0.26446375250816345,00:20
3,0.005842104088515043,0.003787169698625803,0.12233513593673706,0.2178959995508194,00:20
4,0.0055307382717728615,0.0034505631774663925,0.0381900928914547,0.26769402623176575,00:20
5,0.005063304211944342,0.004115034360438585,0.12024484574794769,0.234622523188591,00:20
6,0.004731489811092615,0.0035276468843221664,0.013477900996804237,0.25652211904525757,00:20
7,0.004576655104756355,0.0029737160075455904,0.05613870173692703,0.3154776990413666,00:20
8,0.004247572738677263,0.0034747421741485596,0.49582380056381226,0.3335959017276764,00:20
9,0.004235176835209131,0.0033357536885887384,0.39222151041030884,0.3161766529083252,00:20
epoch,train_loss,valid_loss,foreground_acc,diceFG,time
0,0.0032651617657393217,0.0030492122750729322,0.3247073292732239,0.29707419872283936,00:20
1,0.0031596720218658447,0.0028364844620227814,0.3689766824245453,0.3091643154621124,00:20
2,0.0030642985366284847,0.003159210318699479,0.4280581772327423,0.28719303011894226,00:20
3,0.002985907020047307,0.003012620145455003,0.3330017030239105,0.28150978684425354,00:20
4,0.002915765158832073,0.0029804990626871586,0.3605746328830719,0.2856522798538208,00:20
5,0.002812829567119479,0.0034018168225884438,0.4122689664363861,0.2954082787036896,00:20
6,0.0027693298179656267,0.0033719895873218775,0.2987552881240845,0.3230399191379547,00:21
7,0.0027068641502410173,0.002971873851493001,0.2756071388721466,0.3103750944137573,00:20
8,0.002546413103118539,0.0031731489580124617,0.40332767367362976,0.2876752018928528,00:20
9,0.002439152216538787,0.0032509949523955584,0.414284348487854,0.3175956606864929,00:21
10,0.0023192251101136208,0.0035825741942971945,0.44068124890327454,0.3214174211025238,00:20
11,0.00230425875633955,0.0033751388546079397,0.3364730775356293,0.30075299739837646,00:21
12,0.002169526182115078,0.0036109760403633118,0.3503414988517761,0.3469200134277344,00:21
13,0.002081369748339057,0.0033355464693158865,0.3459438681602478,0.3345891237258911,00:21
14,0.0020347845274955034,0.0034228407312184572,0.4445178806781769,0.317223459482193,00:20
15,0.0019936419557780027,0.003386914497241378,0.3727399408817291,0.32065144181251526,00:21
16,0.0020126786548644304,0.003163063433021307,0.4160196781158447,0.3257949948310852,00:20
17,0.0019152795430272818,0.003425832372158766,0.40706828236579895,0.31321412324905396,00:20
18,0.001830743858590722,0.0033738012425601482,0.4047837555408478,0.3046332001686096,00:21
19,0.0018277151975780725,0.0033457584213465452,0.41262325644493103,0.30711814761161804,00:20
