epoch,train_loss,valid_loss,foreground_acc,diceFG,time
0,0.012315858155488968,0.0076626380905508995,0.00017965229926630855,0.12041717767715454,00:34
1,0.008524405770003796,0.004724406637251377,0.004246709402650595,0.1276245266199112,00:32
2,0.006877557840198278,0.004580171778798103,0.032937441021203995,0.15960468351840973,00:32
3,0.00612577423453331,0.006414047442376614,0.00015347904991358519,0.12025534361600876,00:32
4,0.005646192003041506,0.0042241765186190605,0.05022190138697624,0.20125646889209747,00:32
5,0.005192594602704048,0.003754063043743372,0.32790666818618774,0.41278916597366333,00:32
6,0.004793422296643257,0.005049111321568489,0.04029307886958122,0.18812909722328186,00:32
7,0.00495496578514576,0.0042743259109556675,0.00012226072431076318,0.1202320009469986,00:32
8,0.005014738067984581,0.004993085283786058,0.1531611680984497,0.3048391342163086,00:32
9,0.004422598052769899,0.00414704903960228,0.22999578714370728,0.38591283559799194,00:32
epoch,train_loss,valid_loss,foreground_acc,diceFG,time
0,0.0034643036779016256,0.0035833034198731184,0.3392002582550049,0.4280710816383362,00:34
1,0.003442970337346196,0.0031781764701008797,0.3734455704689026,0.45328542590141296,00:34
2,0.003338815178722143,0.003311007749289274,0.42372170090675354,0.46086716651916504,00:34
3,0.003272974630817771,0.0034173321910202503,0.45528703927993774,0.4467194378376007,00:34
4,0.003193757263943553,0.0033357245847582817,0.3068126142024994,0.4235764443874359,00:34
5,0.0030694976449012756,0.0031358739361166954,0.48493775725364685,0.5230374932289124,00:34
6,0.0029398712795227766,0.0035445888061076403,0.35444214940071106,0.47014686465263367,00:34
7,0.0028038532473146915,0.003954969346523285,0.3200606107711792,0.4468678832054138,00:33
8,0.002689921297132969,0.002649187110364437,0.38367152214050293,0.48290884494781494,00:34
9,0.0026470921002328396,0.003612630069255829,0.26699402928352356,0.41168269515037537,00:34
10,0.0025806811172515154,0.004475481808185577,0.22258833050727844,0.3704022765159607,00:34
11,0.0024854005314409733,0.003739802399650216,0.3140052258968353,0.43230322003364563,00:34
12,0.002339324215427041,0.0032822550274431705,0.3845437169075012,0.4854239821434021,00:34
13,0.002249358221888542,0.003683697432279587,0.4036054313182831,0.4917903244495392,00:34
14,0.002128384541720152,0.0032066924031823874,0.41404563188552856,0.510281503200531,00:34
15,0.0020931409671902657,0.0031821008305996656,0.42957043647766113,0.5185338258743286,00:34
16,0.00204477715305984,0.003512006253004074,0.3620465397834778,0.4848388135433197,00:34
17,0.0020289698150008917,0.0034288133028894663,0.40640467405319214,0.5128909945487976,00:34
18,0.002008698647841811,0.00348518299870193,0.3844907879829407,0.5032485127449036,00:34
19,0.0019847278017550707,0.0034521676134318113,0.37809741497039795,0.4995757043361664,00:34
