epoch,train_loss,valid_loss,foreground_acc,diceFG,time
0,0.0062456559389829636,0.009649982675909996,nan,0.07497286796569824,00:34
1,0.0052394443191587925,0.006683673243969679,nan,0.15599021315574646,00:34
2,0.004807138815522194,0.0059315115213394165,nan,0.0733075886964798,00:34
3,0.004464026540517807,0.006328355986624956,nan,0.1052393838763237,00:34
4,0.00432157889008522,0.00551719730719924,nan,0.07585134357213974,00:34
5,0.004312222823500633,0.005057613365352154,nan,0.2276422381401062,00:34
6,0.004324289038777351,0.004813076928257942,nan,0.11485902220010757,00:33
7,0.004184141755104065,0.005422136280685663,nan,0.12572084367275238,00:34
8,0.003886561607941985,0.004613953642547131,nan,0.3265099823474884,00:34
9,0.003751387121155858,0.005631500389426947,nan,0.29620805382728577,00:34
epoch,train_loss,valid_loss,foreground_acc,diceFG,time
0,0.003178576473146677,0.004570863209664822,nan,0.2838723063468933,00:36
1,0.0031095691956579685,0.004403646569699049,nan,0.28810152411460876,00:36
2,0.0030830889008939266,0.004445458296686411,nan,0.27915939688682556,00:36
3,0.0030266556423157454,0.004194246605038643,nan,0.3074304163455963,00:36
4,0.0029359268955886364,0.004851317498832941,nan,0.3443154990673065,00:36
5,0.0029530595056712627,0.005070054903626442,nan,0.23401445150375366,00:36
6,0.002924035070464015,0.007113536819815636,nan,0.1822088211774826,00:35
7,0.0028062027413398027,0.005997459404170513,nan,0.34625333547592163,00:36
8,0.0026640251744538546,0.004618168342858553,nan,0.37131446599960327,00:35
9,0.0024870908819139004,0.00506709236651659,nan,0.3576831817626953,00:36
10,0.0024120465386658907,0.004971927497535944,nan,0.37010911107063293,00:36
11,0.002399221295490861,0.005251742899417877,nan,0.3466569185256958,00:36
12,0.002373751252889633,0.004410969093441963,nan,0.416820764541626,00:35
13,0.002195988316088915,0.005073876120150089,nan,0.3946658968925476,00:36
14,0.002174262423068285,0.004928142298012972,nan,0.417551726102829,00:35
15,0.00213068095035851,0.005265895742923021,nan,0.38497674465179443,00:36
16,0.0020846500992774963,0.004970544949173927,nan,0.36335405707359314,00:35
17,0.002076226519420743,0.004959098994731903,nan,0.39993762969970703,00:36
18,0.002079422352835536,0.005062306299805641,nan,0.4055345356464386,00:35
19,0.0020421238150447607,0.004893534816801548,nan,0.3855867087841034,00:36
