epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.06478707492351532,0.04765227809548378,0.0,0.0,0.0,0.15000000596046448,0.15000000596046448,0.0,00:10
1,0.04714475944638252,0.029908867552876472,0.010147294029593468,0.0006494969129562378,0.0,0.13480420410633087,0.15000000596046448,0.10203927010297775,00:10
2,0.03622215613722801,0.019646501168608665,0.27518925070762634,0.5245614647865295,0.013263081200420856,0.1867557018995285,0.15000000596046448,0.20679935812950134,00:09
3,0.028819825500249863,0.017207615077495575,0.24720938503742218,0.4173662066459656,0.017210066318511963,0.32958027720451355,0.15000000596046448,0.23468385636806488,00:10
4,0.023891383782029152,0.014371093362569809,0.3753066658973694,0.5081226825714111,0.04174536094069481,0.4145234525203705,0.15000000596046448,0.238589346408844,00:10
5,0.019782839342951775,0.015827979892492294,0.32498130202293396,0.333633154630661,0.3815774917602539,0.435155987739563,0.15262264013290405,0.2860971689224243,00:10
6,0.017416788265109062,0.015832239761948586,0.5198131203651428,0.6301052570343018,0.30212968587875366,0.5578802824020386,0.15274520218372345,0.23787882924079895,00:10
7,0.015607836656272411,0.013109413906931877,0.3851056396961212,0.651690661907196,0.04698115959763527,0.4306764602661133,0.1533072590827942,0.30097484588623047,00:10
8,0.014319859445095062,0.011835264042019844,0.4014735519886017,0.41477832198143005,0.142730250954628,0.6555910110473633,0.15000000596046448,0.2673100233078003,00:10
9,0.0129391485825181,0.010348683223128319,0.5617679357528687,0.6569260954856873,0.40197908878326416,0.6228072047233582,0.15949125587940216,0.33553192019462585,00:10
epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.00922386348247528,0.01038132980465889,0.5706862807273865,0.6994087100028992,0.49970149993896484,0.620108425617218,0.15714608132839203,0.4032911956310272,00:10
1,0.008803298696875572,0.00949158612638712,0.6496178507804871,0.7593402862548828,0.5826570391654968,0.656503438949585,0.1733519434928894,0.4148220717906952,00:10
2,0.008353334851562977,0.009294216521084309,0.6380353569984436,0.7657206058502197,0.508938729763031,0.6889147162437439,0.11976620554924011,0.40589579939842224,00:10
3,0.00819468405097723,0.009205715730786324,0.6493534445762634,0.6889920830726624,0.5590964555740356,0.7263772487640381,0.1456097662448883,0.3857485353946686,00:10
4,0.007959796115756035,0.009210911579430103,0.6906707286834717,0.7802930474281311,0.5979778170585632,0.7093103528022766,0.16792981326580048,0.4390411674976349,00:10
5,0.007772127166390419,0.010917451232671738,0.6792259812355042,0.7684291005134583,0.6221147179603577,0.7069066166877747,0.15597088634967804,0.3747154176235199,00:10
6,0.007491074036806822,0.008702251128852367,0.5913679599761963,0.6736937165260315,0.4819267988204956,0.7304587960243225,0.1341383010149002,0.3759193420410156,00:10
7,0.007266773376613855,0.010211734101176262,0.663338840007782,0.7934731841087341,0.5993176698684692,0.6781783699989319,0.17791303992271423,0.4731464385986328,00:10
8,0.007182247471064329,0.009262647479772568,0.7492566704750061,0.8055067658424377,0.6593350768089294,0.734298050403595,0.1774347573518753,0.49597418308258057,00:10
9,0.00687048863619566,0.009116909466683865,0.6874729990959167,0.76954585313797,0.6113680005073547,0.7260482311248779,0.13218936324119568,0.46453574299812317,00:10
10,0.006649537943303585,0.007987270131707191,0.6621198058128357,0.7460866570472717,0.626484751701355,0.6809005737304688,0.1488879770040512,0.44853803515434265,00:10
11,0.006310042925179005,0.009099914692342281,0.7074498534202576,0.8303849101066589,0.6667686700820923,0.6820659041404724,0.2009895145893097,0.5000371932983398,00:10
12,0.006013663951307535,0.009130905382335186,0.7137448787689209,0.7250979542732239,0.6591411232948303,0.7402412295341492,0.15605482459068298,0.4693409502506256,00:10
13,0.005770314484834671,0.011234455741941929,0.692369818687439,0.7941444516181946,0.6282358765602112,0.7249881625175476,0.2086564004421234,0.5249871015548706,00:10
14,0.005562127567827702,0.010809465311467648,0.7368757128715515,0.783457338809967,0.6627371311187744,0.7443111538887024,0.22667557001113892,0.49794724583625793,00:10
15,0.005442823749035597,0.00938041415065527,0.7546790242195129,0.8063542246818542,0.6829667687416077,0.7553626894950867,0.21080787479877472,0.5223649740219116,00:10
16,0.005187511444091797,0.010763203725218773,0.7181984782218933,0.8174784183502197,0.6692308783531189,0.7466978430747986,0.21249273419380188,0.5238552689552307,00:10
17,0.005048376973718405,0.01031604316085577,0.7470496892929077,0.8155691623687744,0.6775174736976624,0.7480114102363586,0.23579414188861847,0.5032238960266113,00:10
18,0.004916922189295292,0.010178136639297009,0.7307893633842468,0.8104511499404907,0.6683490872383118,0.7352068424224854,0.24320459365844727,0.5141541957855225,00:11
19,0.00482220109552145,0.010359943844377995,0.7329261302947998,0.8132525086402893,0.6719446182250977,0.7348578572273254,0.24946776032447815,0.5161759257316589,00:10
