epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.08687618374824524,0.05856679379940033,0.0,0.0,0.0,0.10526315867900848,0.0,0.05263157933950424,00:09
1,0.05788153037428856,0.03920300304889679,0.1636376976966858,0.3848835527896881,0.09626712650060654,0.17618821561336517,0.009284162893891335,0.05263157933950424,00:09
2,0.04341881349682808,0.03139033913612366,0.36931121349334717,0.6352987289428711,0.2708624005317688,0.3701280653476715,0.08506084233522415,0.05263157933950424,00:09
3,0.03350818529725075,0.02326131984591484,0.4751259684562683,0.736640214920044,0.465381383895874,0.4423842132091522,0.13762116432189941,0.05263157933950424,00:09
4,0.028060927987098694,0.026540974155068398,0.3507719337940216,0.7475740313529968,0.36857926845550537,0.26103708148002625,0.09282318502664566,0.05263157933950424,00:09
5,0.023424454033374786,0.021600155159831047,0.4595321714878082,0.7630997896194458,0.515824019908905,0.4023689925670624,0.12200386822223663,0.05988534167408943,00:09
6,0.020008057355880737,0.019610511139035225,0.61668461561203,0.7892880439758301,0.4390507638454437,0.6116960048675537,0.1629011631011963,0.06303110718727112,00:09
7,0.01791638694703579,0.01713813841342926,0.5837119817733765,0.7695107460021973,0.4345763623714447,0.6609572768211365,0.1650245636701584,0.09370728582143784,00:09
8,0.015952110290527344,0.023208748549222946,0.4398460388183594,0.7457549571990967,0.500126838684082,0.3969117999076843,0.16932030022144318,0.09972860664129257,00:09
9,0.014604187570512295,0.015893027186393738,0.670502781867981,0.762148380279541,0.5716045498847961,0.661145806312561,0.05283855274319649,0.10601607710123062,00:09
10,0.013959577307105064,0.016872774809598923,0.5910431742668152,0.7835463285446167,0.5116798877716064,0.6861682534217834,0.07631134241819382,0.1609436273574829,00:09
11,0.013029365800321102,0.016921889036893845,0.6294846534729004,0.7945950627326965,0.5666696429252625,0.7476390600204468,0.17997972667217255,0.06796247512102127,00:09
12,0.012889578938484192,0.017950011417269707,0.45283669233322144,0.8047565817832947,0.4636947810649872,0.41708260774612427,0.1897212117910385,0.10969876497983932,00:09
13,0.012520364485681057,0.01773717813193798,0.6040297150611877,0.7930517196655273,0.46621978282928467,0.6852868795394897,0.19521206617355347,0.09587641805410385,00:09
14,0.011887258850038052,0.016547156497836113,0.5895633101463318,0.816225528717041,0.5263034105300903,0.6984345316886902,0.2083565890789032,0.0893978402018547,00:09
15,0.011373770423233509,0.015539753250777721,0.6904970407485962,0.8352552652359009,0.5765228271484375,0.5994760394096375,0.2129736840724945,0.10079402476549149,00:09
16,0.010930980555713177,0.0144125921651721,0.6063145995140076,0.8269326686859131,0.5806348323822021,0.6472729444503784,0.1972344070672989,0.12289421260356903,00:09
17,0.010277179069817066,0.013065222650766373,0.6228958368301392,0.8096346855163574,0.5675275921821594,0.728925883769989,0.21232500672340393,0.22865767776966095,00:09
18,0.010106710717082024,0.01517039816826582,0.6174550652503967,0.8281955122947693,0.6167949438095093,0.6852061748504639,0.15328942239284515,0.08889884501695633,00:09
19,0.009764370508491993,0.012637115083634853,0.6134070754051208,0.8138360977172852,0.5769984126091003,0.7266787886619568,0.2198612093925476,0.26994290947914124,00:09
epoch,train_loss,valid_loss,foreground_acc,diceLV,diceMY,diceRV,diceEd,diceSc,time
0,0.007705944590270519,0.011842593550682068,0.6612995266914368,0.8223315477371216,0.6015345454216003,0.7455085515975952,0.20790629088878632,0.28993749618530273,00:09
